symbol,date,pattern,signal_time,entry_time,entry,sl,tp,rr,exit_reason,pnl_r,exit_time
NAS100,2026-03-24,D_FIRST_PULLBACK,2026-03-24 14:00:00+00:00,2026-03-24 14:15:00+00:00,24014.19,23926.57,24189.43,2.0,TP_HIT,2.0,2026-03-24 20:15:00+00:00
NAS100,2026-03-24,D_FIRST_PULLBACK,2026-03-24 23:15:00+00:00,2026-03-24 23:30:00+00:00,24223.37,24195.99,24278.13,2.0,EOD,0.0,2026-03-24 23:45:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 03:30:00+00:00,2026-03-25 03:45:00+00:00,24151.87,24114.37,24226.87,2.0,TP_HIT,2.0,2026-03-25 08:00:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 10:00:00+00:00,2026-03-25 10:15:00+00:00,24256.04,24206.17,24355.78,2.0,SL_HIT,-1.0,2026-03-25 12:15:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 12:45:00+00:00,2026-03-25 13:00:00+00:00,24241.92,24167.17,24391.42,2.0,SL_HIT,-1.0,2026-03-25 13:45:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 14:15:00+00:00,2026-03-25 14:30:00+00:00,24272.79,24122.79,24572.79,2.0,SL_HIT,-1.0,2026-03-25 15:15:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 16:15:00+00:00,2026-03-25 16:30:00+00:00,24206.79,24125.17,24370.03,2.0,SL_HIT,-1.0,2026-03-25 18:45:00+00:00
NAS100,2026-03-25,D_FIRST_PULLBACK,2026-03-25 19:15:00+00:00,2026-03-25 19:30:00+00:00,24147.29,24105.42,24231.03,2.0,SL_HIT,-1.0,2026-03-25 23:15:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 06:15:00+00:00,2026-03-26 06:30:00+00:00,24077.82,24029.07,24175.32,2.0,SL_HIT,-1.0,2026-03-26 07:15:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 09:45:00+00:00,2026-03-26 10:00:00+00:00,23951.57,23906.44,24041.83,2.0,SL_HIT,-1.0,2026-03-26 11:45:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 12:00:00+00:00,2026-03-26 12:15:00+00:00,23933.44,23878.57,24043.18,2.0,SL_HIT,-1.0,2026-03-26 12:30:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 13:45:00+00:00,2026-03-26 14:00:00+00:00,24014.07,23864.07,24314.07,2.0,SL_HIT,-1.0,2026-03-26 14:45:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 15:45:00+00:00,2026-03-26 16:00:00+00:00,23889.32,23847.82,23972.32,2.0,SL_HIT,-1.0,2026-03-26 16:15:00+00:00
NAS100,2026-03-26,D_FIRST_PULLBACK,2026-03-26 20:00:00+00:00,2026-03-26 20:15:00+00:00,23697.14,23560.02,23971.38,2.0,EOD,0.0,2026-03-26 23:45:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 01:00:00+00:00,2026-03-27 01:15:00+00:00,23646.12,23605.5,23727.36,2.0,TP_HIT,2.0,2026-03-27 05:00:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 06:15:00+00:00,2026-03-27 06:30:00+00:00,23744.67,23709.87,23814.27,2.0,SL_HIT,-1.0,2026-03-27 06:45:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 09:15:00+00:00,2026-03-27 09:30:00+00:00,23588.8,23508.8,23748.8,2.0,SL_HIT,-1.0,2026-03-27 10:30:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 13:15:00+00:00,2026-03-27 13:30:00+00:00,23453.8,23375.3,23610.8,2.0,SL_HIT,-1.0,2026-03-27 13:45:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 14:45:00+00:00,2026-03-27 15:00:00+00:00,23310.55,23240.55,23450.55,2.0,SL_HIT,-1.0,2026-03-27 17:15:00+00:00
NAS100,2026-03-27,D_FIRST_PULLBACK,2026-03-27 18:15:00+00:00,2026-03-27 18:30:00+00:00,23161.42,23126.8,23230.66,2.0,SL_HIT,-1.0,2026-03-27 19:00:00+00:00
